individual,species,population,year,predator,bodylength,abdomenlength,seg10width,seg9width,seg8width,seg7width,seg6width,seg5width,seg4width,seg3width,seg2width,seg10length,seg9length,seg8length,seg7length,seg6length,seg5length,seg4length,seg3length,seg2length,ventralarea
130,rubicunda,blankesmoor,2012,invertebrate,19.858,11.917,1.616,2.954,5.194,6.845,7.513,7.597,7.105,6.155,4.949,0.372,1.356,1.441,1.548,1.570,1.441,1.270,1.054,0.861,75.054
131,rubicunda,blankesmoor,2012,invertebrate,20.419,11.930,1.569,2.854,5.221,6.787,7.392,7.463,6.854,5.989,4.912,0.288,1.380,1.310,1.450,1.520,1.567,1.380,1.146,0.936,73.617
132,rubicunda,blankesmoor,2012,invertebrate,17.810,10.071,NA,2.579,5.017,6.422,7.206,7.243,6.707,5.873,4.859,NA,1.032,1.228,1.300,1.371,1.281,1.103,1.004,0.869,60.661
133,rubicunda,blankesmoor,2012,invertebrate,19.622,12.832,1.651,3.088,5.455,7.225,7.459,7.493,7.106,6.105,5.035,0.400,1.444,1.526,1.491,1.491,1.263,1.212,1.211,1.026,84.354
134,rubicunda,blankesmoor,2012,invertebrate,19.918,11.208,NA,3.104,5.352,6.948,7.566,7.523,7.113,6.197,5.250,NA,1.133,1.186,1.385,1.500,1.437,1.285,1.152,0.967,71.681
135,rubicunda,blankesmoor,2012,invertebrate,19.925,11.536,NA,3.059,5.266,6.751,7.343,7.379,6.898,6.001,5.114,NA,1.222,1.185,1.389,1.481,1.500,1.370,1.166,1.000,71.731
136,rubicunda,blankesmoor,2012,invertebrate,18.658,10.341,NA,2.962,5.348,6.945,7.681,7.714,7.188,6.153,5.187,NA,1.095,1.202,1.413,1.460,1.388,1.211,0.976,0.937,66.582
137,rubicunda,blankesmoor,2012,invertebrate,18.442,10.325,1.434,2.937,5.526,7.154,7.776,7.757,7.223,6.307,5.219,NA,1.061,1.134,1.321,1.416,1.392,1.200,0.948,0.877,67.715
138,rubicunda,blankesmoor,2012,invertebrate,20.195,11.245,1.570,2.943,5.243,6.794,7.507,7.596,7.098,6.099,5.136,0.250,1.320,1.356,1.410,1.409,1.355,1.231,1.054,0.874,71.147
139,rubicunda,blankesmoor,2012,invertebrate,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
140,rubicunda,blankesmoor,2012,invertebrate,20.386,11.850,1.649,3.022,5.197,6.830,7.565,7.634,7.070,6.177,5.196,0.263,1.369,1.369,1.491,1.544,1.421,1.263,1.140,1.018,74.563
141,rubicunda,blankesmoor,2012,invertebrate,20.164,12.833,1.695,3.130,5.399,7.311,7.633,7.636,7.145,6.290,5.255,0.264,1.297,1.416,1.505,1.646,1.574,1.398,1.206,1.047,71.005
142,rubicunda,blankesmoor,2012,invertebrate,20.493,11.611,1.409,2.858,5.062,6.495,7.006,7.231,6.901,6.192,5.332,0.261,1.281,1.360,1.592,1.643,1.579,1.488,1.277,1.030,76.317
143,rubicunda,blankesmoor,2012,invertebrate,20.825,12.134,1.575,2.971,5.380,7.019,7.668,7.658,7.227,6.105,4.989,0.291,1.241,1.372,1.580,1.577,1.387,1.320,1.209,1.143,76.335
144,rubicunda,gildermeerbergsmoor,2013,invertebrate,19.994,12.049,1.708,2.829,4.997,6.370,6.966,6.947,6.409,5.496,4.916,0.318,1.395,1.414,1.534,1.552,1.433,1.374,1.294,1.135,64.837
145,rubicunda,gildermeerbergsmoor,2013,invertebrate,19.620,12.050,1.690,2.894,5.059,6.191,6.651,6.631,6.247,5.538,4.637,0.402,1.361,1.319,1.375,1.303,1.267,1.302,1.229,0.916,67.447
146,rubicunda,gildermeerbergsmoor,2013,invertebrate,19.432,11.167,1.486,2.762,4.866,6.058,6.447,6.417,6.074,5.249,4.556,0.181,1.041,1.204,1.455,1.549,1.467,1.405,1.141,0.988,62.900
147,rubicunda,gildermeerbergsmoor,2013,invertebrate,19.274,11.264,1.398,2.793,5.038,6.246,6.661,6.548,6.153,5.415,4.453,0.264,1.170,1.208,1.491,1.509,1.474,1.397,1.208,0.925,70.790
148,rubicunda,gildermeerbergsmoor,2013,invertebrate,18.127,10.832,1.374,2.604,4.736,5.844,6.275,6.225,5.860,5.051,4.322,0.232,1.225,1.275,1.342,1.441,1.390,1.308,1.126,0.895,58.732
149,dubia,gildermeerbergsmoor,2013,invertebrate,14.868,8.598,1.373,2.626,4.407,5.709,6.097,6.027,5.506,4.665,3.804,0.115,1.034,1.056,1.217,1.219,1.186,1.035,0.740,0.721,42.781
150,rubicunda,gildermeerbergsmoor,2013,invertebrate,19.899,12.061,1.641,2.781,4.991,6.344,6.859,6.879,6.440,5.683,4.670,0.288,1.448,1.449,1.520,1.448,1.410,1.372,1.297,1.068,70.286
151,rubicunda,gildermeerbergsmoor,2013,invertebrate,18.452,10.438,1.532,2.738,4.865,6.165,6.700,6.700,6.202,5.380,4.213,0.231,1.290,1.244,1.378,1.264,1.264,1.131,1.035,0.996,58.229
152,rubicunda,gildermeerbergsmoor,2013,invertebrate,18.603,11.044,1.449,2.691,4.610,5.927,6.454,6.398,5.946,5.043,4.252,0.264,1.149,1.336,1.299,1.356,1.337,1.337,1.167,0.979,62.597
153,rubicunda,gildermeerbergsmoor,2013,invertebrate,18.093,10.788,1.473,2.608,4.726,6.050,6.575,6.550,5.999,5.238,4.422,0.209,1.273,1.293,1.349,1.424,1.385,1.328,1.082,0.930,65.088
154,rubicunda,gildermeerbergsmoor,2013,invertebrate,17.661,10.713,1.519,2.785,4.967,6.252,6.740,6.699,6.274,5.477,4.583,0.389,1.325,1.402,1.364,1.324,1.246,1.227,0.994,0.877,60.744
155,rubicunda,gildermeerbergsmoor,2013,invertebrate,19.609,11.712,1.610,2.770,4.756,6.002,6.442,6.460,6.038,5.348,4.447,0.326,1.323,1.419,1.438,1.419,1.323,1.381,1.169,0.997,67.900
156,rubicunda,gildermeerbergsmoor,2013,invertebrate,19.473,11.596,1.346,2.673,4.885,6.250,6.750,6.577,6.076,5.153,4.288,0.308,1.289,1.252,1.365,1.500,1.481,1.365,1.211,1.001,62.840
157,rubicunda,gildermeerbergsmoor,2013,invertebrate,18.470,9.970,1.355,2.563,4.607,5.943,6.278,6.215,5.808,5.136,4.585,0.278,1.166,1.225,1.245,1.299,1.226,1.116,1.067,0.918,55.296
158,dubia,gildermeerbergsmoor,2013,invertebrate,15.040,8.768,1.436,2.685,4.478,5.707,6.198,6.142,5.613,4.781,3.874,0.171,0.928,1.134,1.228,1.134,1.134,1.021,0.907,0.661,44.933
159,dubia,gildermeerbergsmoor,2013,invertebrate,15.687,9.320,1.350,2.681,4.474,5.612,6.133,6.018,5.596,4.675,3.845,0.174,1.099,1.215,1.196,1.196,1.177,1.061,0.907,0.792,47.626
160,dubia,gildermeerbergsmoor,2013,invertebrate,16.460,9.468,1.348,2.637,4.316,5.450,5.974,5.954,5.447,4.744,3.963,0.293,1.113,1.132,1.152,1.269,1.172,1.113,0.918,0.742,43.986
161,dubia,gildermeerbergsmoor,2013,invertebrate,17.513,10.435,1.490,2.908,5.017,6.314,6.798,6.632,6.114,5.232,4.357,0.358,1.155,1.413,1.353,1.376,1.313,1.195,0.934,0.815,54.342
162,dubia,gildermeerbergsmoor,2013,invertebrate,15.850,9.048,1.401,2.627,4.591,5.720,6.303,6.226,5.720,4.808,3.934,0.156,0.934,1.226,1.226,1.187,1.167,0.973,0.875,0.739,46.027
163,dubia,gildermeerbergsmoor,2013,invertebrate,15.214,8.755,1.311,2.655,4.320,5.575,6.095,6.079,5.615,4.631,3.766,0.174,0.984,1.061,1.157,1.197,1.120,0.984,0.888,0.753,43.500
164,dubia,gildermeerbergsmoor,2013,invertebrate,16.819,9.571,1.279,2.711,4.474,5.659,6.116,6.004,5.576,4.679,3.882,0.116,0.814,1.144,1.181,1.362,1.279,1.085,1.164,0.796,46.576
165,dubia,gildermeerbergsmoor,2013,invertebrate,15.870,9.165,1.422,2.623,4.468,5.780,6.216,6.113,5.661,4.847,3.975,0.190,1.029,1.197,1.233,1.158,1.159,1.044,0.835,0.763,47.117
166,dubia,gildermeerbergsmoor,2013,invertebrate,14.797,8.826,1.324,2.678,4.284,5.696,6.160,5.964,5.450,4.595,3.748,0.189,0.962,1.120,1.147,1.266,1.160,1.082,0.870,0.740,41.727
167,dubia,gildermeerbergsmoor,2013,invertebrate,14.904,8.571,1.451,2.621,4.239,5.483,5.991,5.897,5.521,4.787,3.977,0.189,0.999,1.055,1.262,1.168,1.168,0.961,0.697,0.678,41.811
168,dubia,gildermeerbergsmoor,2012,invertebrate,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
169,dubia,gildermeerbergsmoor,2012,invertebrate,16.878,9.398,1.376,2.881,4.702,6.236,6.986,6.842,6.340,5.269,4.447,0.161,0.982,1.054,1.215,1.269,1.197,1.125,0.964,0.786,53.991
170,dubia,gildermeerbergsmoor,2012,invertebrate,17.043,9.952,1.491,2.883,4.709,6.196,6.715,6.598,6.069,5.190,4.273,0.215,1.148,1.237,1.308,1.327,1.221,1.057,0.877,0.716,54.780
171,dubia,gildermeerbergsmoor,2012,invertebrate,16.718,9.849,1.423,2.904,4.634,6.115,6.637,6.521,5.961,5.116,4.288,0.173,1.097,1.173,1.269,1.365,1.307,1.057,0.865,0.808,54.057
172,dubia,gildermeerbergsmoor,2012,invertebrate,16.368,9.380,1.293,2.710,4.440,5.887,6.451,6.438,5.925,5.056,4.162,0.158,0.938,1.019,1.206,1.256,1.193,1.033,0.825,0.828,49.627
173,dubia,gildermeerbergsmoor,2012,invertebrate,17.403,10.168,1.528,2.869,4.521,5.828,6.391,6.247,5.756,4.926,4.199,0.218,1.090,1.216,1.325,1.253,1.253,1.090,0.962,0.799,52.688
174,dubia,gildermeerbergsmoor,2012,invertebrate,16.612,9.561,1.351,2.809,4.651,6.130,6.708,6.795,6.301,5.388,4.388,0.124,0.807,1.070,1.298,1.333,1.316,1.088,0.895,0.754,53.566
175,dubia,gildermeerbergsmoor,2012,invertebrate,16.913,10.080,1.439,2.805,4.559,6.033,6.558,6.455,5.894,4.895,4.105,0.210,1.036,1.159,1.228,1.315,1.298,1.123,0.965,0.877,53.591
176,dubia,gildermeerbergsmoor,2012,invertebrate,17.003,9.542,1.328,2.771,4.443,6.001,6.576,6.445,5.853,4.934,4.081,0.197,0.885,1.082,1.181,1.312,1.295,1.098,0.951,0.852,50.987
177,dubia,gildermeerbergsmoor,2012,invertebrate,17.136,10.034,1.375,2.758,4.506,6.047,6.651,6.592,6.001,5.101,4.206,0.212,0.886,1.164,1.258,1.405,1.339,1.128,1.029,0.833,54.140
178,dubia,gildermeerbergsmoor,2012,invertebrate,16.885,10.011,1.442,2.874,4.592,6.142,6.749,6.746,6.244,5.373,4.353,0.193,0.998,1.099,1.355,1.435,1.325,1.097,0.951,0.805,56.293
179,dubia,gildermeerbergsmoor,2012,invertebrate,16.866,10.022,1.377,2.787,4.618,6.183,6.762,6.750,6.238,5.345,4.491,0.307,1.121,1.233,1.323,1.289,1.266,1.070,0.941,0.849,55.494
180,dubia,gildermeerbergsmoor,2012,invertebrate,16.910,9.880,1.337,2.863,4.475,5.967,6.451,6.314,5.867,5.076,4.259,0.214,0.982,1.108,1.304,1.414,1.361,1.143,0.894,0.839,52.331
181,dubia,gildermeerbergsmoor,2012,invertebrate,16.212,9.255,NA,2.749,4.343,5.741,6.256,6.241,5.777,4.963,4.038,NA,0.940,1.095,1.211,1.293,1.242,1.115,0.860,0.795,48.190
182,dubia,gildermeerbergsmoor,2012,invertebrate,17.529,10.335,1.289,2.923,4.829,6.227,6.754,6.482,5.974,5.065,4.285,0.163,0.853,1.435,1.453,1.434,1.380,1.235,0.963,0.781,57.664
183,dubia,gildermeerbergsmoor,2012,invertebrate,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
184,dubia,gildermeerbergsmoor,2012,invertebrate,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
185,dubia,gildermeerbergsmoor,2012,invertebrate,17.333,10.093,1.368,2.822,4.733,6.261,6.857,6.874,6.436,5.379,4.490,0.145,0.968,1.112,1.253,1.402,1.294,1.070,1.015,0.856,57.692
186,dubia,gildermeerbergsmoor,2012,invertebrate,15.898,8.654,1.316,2.744,4.453,5.940,6.497,6.453,5.958,5.134,4.157,0.126,0.856,1.090,1.071,1.216,1.091,0.916,0.851,0.787,46.619
187,dubia,gildermeerbergsmoor,2012,invertebrate,16.222,9.173,1.373,2.638,4.379,5.790,6.349,6.296,5.752,4.908,4.008,0.123,0.879,1.021,1.125,1.283,1.231,1.108,0.879,0.826,47.799
188,dubia,gildermeerbergsmoor,2012,invertebrate,17.185,10.095,1.424,2.966,4.843,6.381,6.874,6.753,6.188,5.263,4.478,0.274,1.120,1.327,1.437,1.386,1.294,1.058,0.871,0.711,56.061
189,dubia,gildermeerbergsmoor,2012,invertebrate,17.131,9.686,1.350,2.825,4.625,6.141,6.703,6.676,6.111,5.138,4.255,0.179,0.993,1.136,1.243,1.316,1.241,1.062,0.882,0.812,53.032
190,dubia,gildermeerbergsmoor,2012,invertebrate,16.031,9.354,1.345,2.911,4.729,6.266,6.944,6.833,6.279,5.228,4.300,0.143,0.999,1.107,1.284,1.320,1.214,1.195,0.893,0.785,53.326
191,dubia,gildermeerbergsmoor,2012,invertebrate,16.597,9.334,1.314,2.669,4.252,5.653,6.193,6.113,5.710,4.822,4.232,0.141,0.866,1.010,1.205,1.293,1.187,1.100,0.975,0.781,47.530
192,dubia,gildermeerbergsmoor,2012,invertebrate,17.710,10.368,1.519,3.000,4.887,6.385,6.960,6.833,6.384,5.407,4.572,0.204,0.945,1.277,1.408,1.426,1.445,1.166,0.944,0.870,59.023
193,dubia,gildermeerbergsmoor,2012,invertebrate,15.960,9.122,1.287,2.772,4.643,6.133,6.730,6.771,6.296,5.307,4.367,0.147,0.704,1.146,1.276,1.379,1.277,1.112,0.818,0.737,51.832
194,dubia,gildermeerbergsmoor,2012,invertebrate,16.135,9.302,1.368,2.779,4.351,5.782,6.303,6.242,5.780,4.922,4.144,0.175,0.845,1.032,1.176,1.239,1.254,1.144,1.017,0.794,48.268
195,dubia,gildermeerbergsmoor,2012,invertebrate,15.517,8.860,1.282,2.565,4.476,5.496,6.143,6.176,5.644,4.777,3.978,0.250,0.882,1.049,1.082,1.116,1.132,0.949,0.899,0.799,44.698
196,dubia,gildermeerbergsmoor,2012,invertebrate,15.708,9.107,1.222,2.749,4.180,5.399,6.004,5.901,5.369,4.570,4.020,0.169,0.932,1.085,1.186,1.272,1.289,1.051,0.780,0.712,44.620
197,dubia,gildermeerbergsmoor,2012,invertebrate,15.285,8.704,1.300,2.613,4.144,5.431,5.877,5.776,5.332,4.573,3.773,0.166,0.892,1.028,1.175,1.218,1.116,0.931,0.865,0.749,42.005
198,dubia,gildermeerbergsmoor,2012,invertebrate,16.791,9.605,1.389,2.725,4.471,6.021,6.574,6.537,5.986,5.095,4.151,0.196,0.998,1.069,1.193,1.283,1.265,1.122,0.926,0.802,51.003
199,dubia,gildermeerbergsmoor,2012,invertebrate,16.407,10.015,1.436,2.970,4.744,6.194,6.725,6.580,6.145,5.163,4.358,0.178,1.032,1.210,1.403,1.451,1.355,1.177,0.936,0.678,55.526
200,dubia,gildermeerbergsmoor,2012,invertebrate,16.457,9.718,1.378,2.873,4.675,6.142,6.749,6.717,6.038,5.049,4.145,0.129,1.001,1.180,1.293,1.291,1.225,1.096,0.967,0.838,53.251
201,dubia,gildermeerbergsmoor,2012,invertebrate,16.175,9.360,1.365,2.746,4.367,5.828,6.486,6.422,5.940,5.057,4.222,0.225,0.819,1.060,1.172,1.300,1.301,1.044,0.867,0.771,49.515
202,dubia,gildermeerbergsmoor,2012,invertebrate,17.509,10.141,1.363,2.786,4.607,6.148,6.702,6.613,6.078,5.178,4.098,0.178,0.958,1.149,1.308,1.251,1.197,1.072,1.036,0.910,55.135
203,dubia,gildermeerbergsmoor,2012,invertebrate,17.350,10.294,1.330,2.799,4.519,5.964,6.537,6.441,6.017,5.135,4.227,0.211,0.984,1.219,1.374,1.482,1.405,1.158,0.909,0.871,56.053
204,dubia,gildermeerbergsmoor,2012,invertebrate,16.217,9.260,1.427,2.889,4.529,6.063,6.669,6.705,6.119,5.208,4.229,0.125,0.838,1.052,1.266,1.303,1.248,1.070,0.856,0.821,51.319
205,dubia,gildermeerbergsmoor,2012,invertebrate,16.687,9.433,1.345,2.777,4.466,5.879,6.413,6.327,5.845,4.897,4.087,0.225,0.931,1.017,1.190,1.310,1.241,1.052,0.948,0.793,49.612
206,dubia,gildermeerbergsmoor,2012,invertebrate,16.522,9.479,1.321,2.928,4.644,6.145,6.627,6.572,6.090,5.231,4.374,0.089,0.839,1.074,1.287,1.393,1.286,1.018,0.982,0.697,51.917
207,dubia,gildermeerbergsmoor,2012,invertebrate,16.925,9.944,1.386,2.875,4.682,6.225,6.804,6.786,6.224,5.225,4.278,0.228,1.035,1.158,1.245,1.315,1.350,1.053,0.947,0.789,55.216
208,rubicunda,gildermeerbergsmoor,2012,invertebrate,19.471,11.344,1.614,3.064,5.286,6.759,7.228,7.251,6.759,6.035,5.123,0.228,1.170,1.333,1.497,1.474,1.544,1.310,0.982,0.865,69.530
209,rubicunda,gildermeerbergsmoor,2012,invertebrate,18.666,10.705,1.528,2.878,4.931,6.457,7.105,7.087,6.631,5.684,4.701,0.229,1.040,1.211,1.266,1.335,1.368,1.210,1.105,0.982,62.154
210,rubicunda,gildermeerbergsmoor,2012,invertebrate,20.235,11.628,1.455,2.913,5.004,6.528,7.124,7.175,6.769,5.927,4.857,0.264,1.105,1.175,1.456,1.456,1.508,1.386,1.175,1.105,70.062
211,rubicunda,gildermeerbergsmoor,2012,invertebrate,21.203,12.721,1.627,2.977,5.152,6.703,7.244,7.285,6.998,6.072,5.125,0.404,1.406,1.531,1.550,1.613,1.526,1.297,1.194,1.045,71.330
212,rubicunda,gildermeerbergsmoor,2012,invertebrate,19.189,11.282,1.518,2.742,4.897,6.397,6.931,6.932,6.417,5.324,4.537,0.207,1.105,1.225,1.466,1.536,1.398,1.190,1.174,1.087,64.007
213,rubicunda,gildermeerbergsmoor,2012,invertebrate,21.027,12.532,1.616,3.080,5.393,6.927,7.509,7.494,7.046,6.131,5.247,0.250,1.252,1.401,1.515,1.583,1.479,1.434,1.266,0.999,78.427
214,rubicunda,gildermeerbergsmoor,2012,invertebrate,19.541,11.378,1.539,2.929,5.077,6.615,7.244,7.245,6.742,5.899,4.900,0.293,1.257,1.344,1.431,1.452,1.474,1.214,1.062,0.932,68.728
215,rubicunda,gildermeerbergsmoor,2012,invertebrate,18.453,10.578,1.617,2.938,5.102,6.537,7.262,7.192,6.672,5.815,4.891,0.230,1.131,1.151,1.305,1.459,1.372,1.160,1.036,0.862,63.064
216,rubicunda,gildermeerbergsmoor,2012,invertebrate,18.275,10.772,1.388,2.797,4.704,5.965,6.503,6.443,6.000,5.217,4.373,0.203,1.059,1.118,1.398,1.438,1.438,1.258,1.119,0.978,54.387
217,rubicunda,gildermeerbergsmoor,2012,invertebrate,20.264,11.665,1.524,3.046,5.333,6.859,7.487,7.486,6.925,6.012,4.940,0.216,1.235,1.319,1.506,1.532,1.610,1.332,1.121,1.027,74.967
218,rubicunda,gildermeerbergsmoor,2012,invertebrate,18.950,10.151,1.434,2.679,4.660,6.000,6.528,6.546,6.169,5.339,4.509,0.246,1.164,1.223,1.361,1.460,1.361,1.241,1.141,0.920,56.704
219,rubicunda,gildermeerbergsmoor,2012,invertebrate,19.716,11.455,1.555,3.016,5.147,6.568,7.221,7.300,6.953,6.052,4.995,0.231,1.135,1.315,1.523,1.618,1.460,1.287,1.018,0.903,69.764
220,rubicunda,gildermeerbergsmoor,2012,invertebrate,18.788,10.718,1.464,2.943,5.006,6.434,7.053,7.003,6.571,5.729,4.682,0.224,1.107,1.324,1.523,1.469,1.396,1.251,1.179,1.052,62.508
221,albifrons,nehmitzsee,2013,vertebrate,19.303,11.537,1.532,3.244,5.587,7.223,7.771,7.633,6.894,5.692,4.639,0.373,1.556,1.636,1.518,1.540,1.414,1.159,0.944,0.630,72.982
222,albifrons,nehmitzsee,2013,vertebrate,18.744,11.165,1.414,3.068,5.361,6.992,7.540,7.486,6.918,5.880,4.799,0.255,1.394,1.471,1.489,1.396,1.370,1.256,0.822,0.764,69.366
223,albifrons,nehmitzsee,2013,vertebrate,17.532,10.577,1.434,3.139,5.269,6.915,7.284,7.150,6.548,5.542,4.417,0.272,1.435,1.511,1.492,1.569,1.328,1.183,0.756,0.620,64.266
224,albifrons,nehmitzsee,2013,vertebrate,18.984,11.518,1.455,3.271,5.615,7.370,7.888,7.733,7.138,6.111,4.836,0.369,1.476,1.573,1.611,1.649,1.436,1.223,0.893,0.699,75.606
225,albifrons,nehmitzsee,2013,vertebrate,19.054,11.099,1.542,3.070,5.196,6.877,7.346,7.247,6.605,5.742,4.634,0.273,1.408,1.562,1.504,1.444,1.329,1.153,0.839,0.722,67.321
226,albifrons,nehmitzsee,2013,vertebrate,19.273,11.578,1.542,3.245,5.530,7.132,7.721,7.623,6.768,5.675,4.656,0.414,1.583,1.620,1.522,1.580,1.386,1.152,0.919,0.724,72.456
227,albifrons,nehmitzsee,2013,vertebrate,19.042,11.294,1.408,3.057,5.441,7.012,7.605,7.569,7.032,6.001,4.858,0.336,1.491,1.527,1.527,1.472,1.329,1.215,0.832,0.813,70.705
228,albifrons,nehmitzsee,2013,vertebrate,17.658,10.590,1.460,3.114,5.308,6.909,7.246,7.194,6.587,5.592,4.586,0.245,1.434,1.511,1.563,1.576,1.254,1.240,0.737,0.640,63.782
229,albifrons,nehmitzsee,2013,vertebrate,18.817,11.525,1.476,3.187,5.510,7.312,7.774,7.656,7.028,6.017,4.779,0.342,1.569,1.536,1.592,1.631,1.480,1.248,0.923,0.671,73.442
230,albifrons,nehmitzsee,2013,vertebrate,18.890,11.013,1.552,3.050,5.187,6.838,7.346,7.186,6.624,5.631,4.583,0.292,1.379,1.555,1.515,1.533,1.300,1.107,0.816,0.718,65.501
231,albifrons,nehmitzsee,2013,vertebrate,19.488,11.704,1.525,3.247,5.582,7.186,7.799,7.667,6.854,5.710,4.679,0.376,1.601,1.621,1.544,1.545,1.366,1.127,0.969,0.677,73.955
232,albifrons,nehmitzsee,2013,vertebrate,18.694,11.086,1.349,3.070,5.353,6.959,7.504,7.470,6.926,5.868,4.713,0.355,1.388,1.482,1.481,1.467,1.411,1.249,0.799,0.762,68.464
233,albifrons,nehmitzsee,2013,vertebrate,17.436,10.450,1.461,3.016,5.225,6.838,7.185,7.089,6.512,5.532,4.496,0.250,1.460,1.441,1.498,1.556,1.249,1.135,0.884,0.616,62.594
234,albifrons,nehmitzsee,2013,vertebrate,18.918,11.545,1.428,3.189,5.507,7.321,7.825,7.724,7.072,6.053,4.766,0.387,1.446,1.621,1.659,1.621,1.448,1.315,0.907,0.695,74.322
235,albifrons,nehmitzsee,2013,vertebrate,18.802,10.909,1.563,3.031,5.115,6.795,7.257,7.161,6.546,5.637,4.519,0.271,1.392,1.548,1.544,1.469,1.295,1.139,0.833,0.694,65.073
236,pectoralis,gro§esmoor1,2013,invertebrate,22.181,12.165,1.840,3.334,6.012,7.599,8.110,7.937,7.347,6.368,5.253,0.196,1.449,1.469,1.547,1.665,1.509,1.351,1.214,1.041,82.422
237,pectoralis,gro§esmoor1,2013,invertebrate,20.562,12.438,1.745,3.072,5.493,6.956,7.570,7.517,7.001,5.923,5.053,0.315,1.498,1.401,1.480,1.520,1.483,1.386,1.384,1.108,75.170
238,rubicunda,gro§esmoor1,2013,invertebrate,20.405,12.304,1.570,3.005,4.948,6.152,6.519,6.443,6.138,5.457,4.645,0.323,1.377,1.471,1.584,1.603,1.473,1.395,1.301,1.059,67.031
239,dubia,gro§esmoor1,2013,invertebrate,15.946,9.216,1.489,2.738,4.692,6.053,6.687,6.630,6.203,5.309,4.234,0.205,1.172,1.153,1.228,1.284,1.228,1.005,0.837,0.708,51.174
240,dubia,gro§esmoor1,2013,invertebrate,16.650,9.620,1.593,2.897,4.902,6.342,7.023,6.923,6.459,5.545,4.437,0.175,1.166,1.224,1.282,1.322,1.263,1.030,0.836,0.777,55.977
241,dubia,gro§esmoor1,2013,invertebrate,17.916,9.992,1.387,2.605,4.590,5.987,6.519,6.545,6.125,5.311,4.379,0.190,1.098,1.212,1.212,1.194,1.158,1.119,1.023,0.834,54.264
242,rubicunda,gro§esmoor1,2013,invertebrate,20.255,12.460,1.620,2.781,5.271,6.853,7.429,7.407,6.886,6.036,5.033,0.271,1.037,1.257,1.332,1.386,1.349,1.367,1.127,0.961,76.446
243,dubia,gro§esmoor1,2012,invertebrate,16.648,9.722,1.231,2.944,4.829,6.434,7.075,6.961,6.452,5.395,4.358,NA,0.944,1.308,1.270,1.366,1.327,1.057,0.884,0.769,57.248
244,dubia,gro§esmoor1,2012,invertebrate,17.597,10.283,1.450,3.019,4.850,6.538,7.181,7.109,6.610,5.564,4.543,0.160,1.094,1.236,1.403,1.355,1.355,1.022,0.975,0.808,61.328
245,pectoralis,gro§esmoor1,2012,invertebrate,19.498,11.405,1.509,2.980,5.404,7.057,7.673,7.634,7.097,6.215,5.102,0.328,1.269,1.384,1.577,1.654,1.596,1.346,1.154,0.923,80.353
246,pectoralis,gro§esmoor1,2012,invertebrate,19.970,11.311,1.725,3.176,5.489,7.144,7.794,7.752,7.296,6.384,5.236,0.242,1.342,1.421,1.566,1.613,1.484,1.180,1.067,0.856,78.327
247,pectoralis,gro§esmoor1,2012,invertebrate,20.958,12.364,1.716,3.214,5.794,7.548,8.236,8.206,7.716,6.630,5.436,0.163,1.492,1.510,1.690,1.730,1.617,1.380,1.312,0.871,86.490
248,pectoralis,gro§esmoor1,2012,invertebrate,20.597,11.826,NA,3.278,5.853,7.518,8.201,8.144,7.646,6.560,5.364,NA,1.500,1.439,1.525,1.689,1.526,1.233,1.127,0.939,76.885
249,pectoralis,gro§esmoor1,2012,invertebrate,19.549,11.710,1.603,2.993,5.510,7.208,7.856,7.852,7.187,6.227,5.111,0.279,1.311,1.358,1.506,1.600,1.551,1.321,1.112,0.898,76.171
250,pectoralis,gro§esmoor1,2012,invertebrate,19.865,11.394,1.468,3.133,5.489,7.221,7.866,7.843,7.422,6.399,5.377,0.194,1.111,1.363,1.691,1.733,1.651,1.267,1.065,0.889,78.781
251,pectoralis,gro§esmoor1,2012,invertebrate,21.295,12.490,1.754,3.091,5.412,7.024,7.586,7.639,7.231,6.229,5.233,0.283,1.300,1.440,1.579,1.719,1.579,1.403,1.246,0.965,79.611
252,pectoralis,gro§esmoor1,2012,invertebrate,20.109,12.107,1.694,3.122,5.494,7.237,7.904,7.929,7.255,6.285,5.153,0.340,1.358,1.438,1.648,1.607,1.529,1.321,1.211,0.871,79.258
253,rubicunda,gro§esmoor1,2012,invertebrate,20.499,11.895,1.496,3.041,5.086,6.642,7.378,7.463,7.050,6.231,5.054,0.349,1.190,1.394,1.538,1.516,1.353,1.312,1.255,1.046,83.673
254,rubicunda,gro§esmoor1,2012,invertebrate,19.786,12.096,1.596,3.041,5.106,6.720,7.508,7.546,6.951,5.951,4.928,0.251,1.137,1.273,1.506,1.595,1.562,1.351,1.234,0.966,75.142
255,rubicunda,gro§esmoor1,2012,invertebrate,20.213,12.192,1.681,3.019,5.159,6.908,7.586,7.678,7.213,6.376,5.339,0.196,1.163,1.238,1.485,1.643,1.523,1.463,1.356,1.107,78.115
